#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T15:15:31', checksum=1879627532, kind='mean', investigation_time=1.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
100.99542,29.82685,0.00000,3.330220E-02,2.232963E-02,1.417874E-02,8.532673E-03,4.878693E-03,2.659231E-03,1.390890E-03,7.030277E-04,3.479761E-04,1.723369E-04,8.596048E-05,4.311385E-05,2.157740E-05,1.072607E-05,5.276996E-06,2.520040E-06,1.126651E-06,4.477024E-07,1.481474E-07,3.738796E-08
100.99564,29.96175,0.00000,3.439311E-02,2.285516E-02,1.437678E-02,8.572577E-03,4.859287E-03,2.629370E-03,1.366951E-03,6.869243E-04,3.389895E-04,1.671873E-04,8.294592E-05,4.148767E-05,2.074484E-05,1.024984E-05,4.876379E-06,2.163958E-06,8.645345E-07,2.975165E-07,8.200232E-08,1.655416E-08
100.99585,30.09665,0.00000,3.492698E-02,2.298930E-02,1.432563E-02,8.469117E-03,4.765190E-03,2.564381E-03,1.327317E-03,6.647220E-04,3.276253E-04,1.611704E-04,7.974213E-05,3.977422E-05,1.969925E-05,9.442000E-06,4.197694E-06,1.667956E-06,5.723311E-07,1.609935E-07,3.390280E-08,5.303306E-09
100.99606,30.23154,0.00000,3.484127E-02,2.271678E-02,1.403507E-02,8.238251E-03,4.610433E-03,2.473371E-03,1.277311E-03,6.394689E-04,3.153179E-04,1.549609E-04,7.653514E-05,3.788615E-05,1.834926E-05,8.360278E-06,3.404615E-06,1.185332E-06,3.337664E-07,6.722406E-08,8.024033E-09,2.991768E-10
100.99628,30.36644,0.00000,3.424152E-02,2.211764E-02,1.355914E-02,7.912453E-03,4.412987E-03,2.363619E-03,1.220354E-03,6.120038E-04,3.021559E-04,1.485047E-04,7.308998E-05,3.564373E-05,1.667444E-05,7.135845E-06,2.649104E-06,8.115719E-07,1.887660E-07,2.698573E-08,1.504829E-09,0.000000E+00
100.99649,30.50134,0.00000,3.320146E-02,2.124841E-02,1.293180E-02,7.509674E-03,4.178808E-03,2.236608E-03,1.156275E-03,5.813623E-04,2.875612E-04,1.413271E-04,6.904314E-05,3.292853E-05,1.473192E-05,5.878788E-06,1.982693E-06,5.313928E-07,9.875142E-08,8.971573E-09,1.389114E-10,0.000000E+00
100.99671,30.63624,0.00000,3.177283E-02,2.014429E-02,1.217526E-02,7.040960E-03,3.910948E-03,2.093351E-03,1.084356E-03,5.466981E-04,2.710667E-04,1.330199E-04,6.421051E-05,2.974099E-05,1.263801E-05,4.683453E-06,1.429175E-06,3.304359E-07,4.732979E-08,2.128365E-09,0.000000E+00,0.000000E+00
100.99693,30.77114,0.00000,3.003018E-02,1.886164E-02,1.132364E-02,6.522465E-03,3.616510E-03,1.937175E-03,1.005752E-03,5.086011E-04,2.527257E-04,1.234994E-04,5.863217E-05,2.621339E-05,1.053224E-05,3.615274E-06,9.934946E-07,1.939752E-07,2.006229E-08,1.671517E-10,0.000000E+00,0.000000E+00
100.99715,30.90604,0.00000,2.806448E-02,1.746384E-02,1.041567E-02,5.975451E-03,3.308579E-03,1.774272E-03,9.234883E-04,4.686448E-04,2.331025E-04,1.130929E-04,5.256439E-05,2.257514E-05,8.547157E-06,2.708869E-06,6.641585E-07,1.068994E-07,6.960474E-09,0.000000E+00,0.000000E+00,0.000000E+00
100.99737,31.04094,0.00000,2.599434E-02,1.602937E-02,9.499071E-03,5.428994E-03,3.003540E-03,1.612773E-03,8.416292E-04,4.285819E-04,2.130008E-04,1.022685E-04,4.633778E-05,1.903867E-05,6.773754E-06,1.969393E-06,4.252616E-07,5.396916E-08,1.654163E-09,0.000000E+00,0.000000E+00,0.000000E+00
