model_name	fault_name	longitude	latitude	type
Example_Model	F3	22.13468129	38.24715832	sf
Example_Model	F3	22.13751096	38.2471309	sf
Example_Model	F3	22.14076353	38.24726812	sf
Example_Model	F3	22.14379385	38.24754454	sf
Example_Model	F3	22.14477972	38.24768944	sf
Example_Model	F3	22.14522443	38.24779627	sf
Example_Model	F3	22.14556348	38.24783243	sf
Example_Model	F3	22.14605474	38.24780235	sf
Example_Model	F3	22.14707972	38.24773956	sf
Example_Model	F3	22.14810224	38.24767692	sf
Example_Model	F3	22.14893434	38.24762593	sf
Example_Model	F3	22.14971072	38.24760318	sf
Example_Model	F3	22.15017726	38.24766744	sf
Example_Model	F3	22.15061976	38.24773985	sf
Example_Model	F3	22.15107606	38.24781981	sf
Example_Model	F3	22.15143305	38.24788236	sf
Example_Model	F3	22.15186592	38.24821982	sf
Example_Model	F3	22.15187203	38.24860723	sf
Example_Model	F3	22.15770376	38.24990487	sf
Example_Model	F4	22.02839518	38.23102391	sf
Example_Model	F4	22.02992358	38.23008056	sf
Example_Model	F4	22.03127464	38.22942488	sf
Example_Model	F4	22.03380849	38.2290449	sf
Example_Model	F4	22.03633928	38.2284503	sf
Example_Model	F4	22.03896578	38.22821246	sf
Example_Model	F4	22.04150364	38.22811843	sf
Example_Model	F4	22.04377048	38.22809828	sf
Example_Model	F4	22.0463949	38.22771723	sf
Example_Model	F4	22.04838457	38.22734179	sf
Example_Model	F4	22.053353	38.22600966	sf
Example_Model	F4	22.06293496	38.22392027	sf
Example_Model	F4	22.07881163	38.22034767	sf
Example_Model	F4	22.08049907	38.21999831	sf
Example_Model	F4	22.08278879	38.2195003	sf
Example_Model	F4	22.08489928	38.21914697	sf
Example_Model	F4	22.08700761	38.21865056	sf
Example_Model	F4	22.08947572	38.21796001	sf
Example_Model	F4	22.09170772	38.21765313	sf
Example_Model	F4	22.09412173	38.2173922	sf
Example_Model	F4	22.0958709	38.21713742	sf
Example_Model	F4	22.09707682	38.21693538	sf
Example_Model	F4	22.09828416	38.21682871	sf
Example_Model	F4	22.10009732	38.21681172	sf
Example_Model	F4	22.10154713	38.21675043	sf
Example_Model	F4	22.10317681	38.21659205	sf
Example_Model	F4	22.1058915	38.21623267	sf
Example_Model	F4	22.10872848	38.21596744	sf
Example_Model	F4	22.11410598	38.21582112	sf
Example_Model	F4	22.11639752	38.2154655	sf
Example_Model	F4	22.11814288	38.21497198	sf
Example_Model	F4	22.11982928	38.21457439	sf
Example_Model	F4	22.12199913	38.21417214	sf
Example_Model	F4	22.12362577	38.21382275	sf
Example_Model	F4	22.12512786	38.21323608	sf
Example_Model	F4	22.12668962	38.21260113	sf
Example_Model	F4	22.1289677	38.21138699	sf
Example_Model	F4	22.1310077	38.21041355	sf
Example_Model	F4	22.13311102	38.20963023	sf
Example_Model	F4	22.13582008	38.20893637	sf
Example_Model	F4	22.13714291	38.20849436	sf
Example_Model	F4	22.13798076	38.20796165	sf
Example_Model	F4	22.13893503	38.20714167	sf
Example_Model	F4	22.13965127	38.20656244	sf
Example_Model	F4	22.1401862	38.20598497	sf
Example_Model	F4	22.14180661	38.20525387	sf
Example_Model	F4	22.14336731	38.20457102	sf
Example_Model	F4	22.14492648	38.20379278	sf
Example_Model	F4	22.14624241	38.20292152	sf
Example_Model	F4	22.14802673	38.20109187	sf
Example_Model	F4	22.14969764	38.19974021	sf
Example_Model	F5	22.14469903	38.19819953	sf
Example_Model	F5	22.14589438	38.19735329	sf
Example_Model	F5	22.14693681	38.19638932	sf
Example_Model	F5	22.14843234	38.1954209	sf
Example_Model	F5	22.15022994	38.1944495	sf
Example_Model	F5	22.15233146	38.19359432	sf
Example_Model	F5	22.15398357	38.19298196	sf
Example_Model	F5	22.1556413	38.1927272	sf
Example_Model	F5	22.15759731	38.19223102	sf
Example_Model	F5	22.15985541	38.19173182	sf
Example_Model	F5	22.16211914	38.1915902	sf
Example_Model	F5	22.16423182	38.19145003	sf
Example_Model	F5	22.16634448	38.19130983	sf
Example_Model	F5	22.16830611	38.19117108	sf
Example_Model	F5	22.17041686	38.1909116	sf
Example_Model	F5	22.17251995	38.19017527	sf
Example_Model	F5	22.1747702	38.18919896	sf
Example_Model	F5	22.17642392	38.18870551	sf
Example_Model	F5	22.17822673	38.1880913	sf
Example_Model	F5	22.17958411	38.18795843	sf
Example_Model	F5	22.18109058	38.18770483	sf
Example_Model	F5	22.18305401	38.18768505	sf
Example_Model	F5	22.18471537	38.18766829	sf
Example_Model	F5	22.18622375	38.18753382	sf
Example_Model	F5	22.18818136	38.18715635	sf
Example_Model	F5	22.18923469	38.18690723	sf
Example_Model	F5	22.19134329	38.18652817	sf
Example_Model	F5	22.19315175	38.18627134	sf
Example_Model	F5	22.19496215	38.1861337	sf
