section;wkt
243;LINESTRING(-71.016522 19.117624,-71.016522 19.117624)
245;LINESTRING(-70.52086 19.084739,-70.460792 19.085746)
245;LINESTRING(-70.545167 19.095701,-70.507879 19.176207)
246;LINESTRING(-71.729525 19.122491,-71.729525 19.122491)
246;LINESTRING(-71.5923482 19.0894998,-71.560096 19.174085)
247;LINESTRING(-71.358649 19.066273,-71.358649 19.066273)
247;LINESTRING(-71.424649 19.08921,-71.402454 19.117961)
247;LINESTRING(-71.424649 19.08921,-71.402454 19.147123)
248;LINESTRING(-71.343205 19.445853,-71.343205 19.445853)
250;LINESTRING(-71.75237 19.686676,-71.777104 19.680727)
257;LINESTRING(-76.715108 19.773587,-76.715108 19.773587)
262;LINESTRING(-75.035412 19.850027,-75.019956 19.853891)
262;LINESTRING(-75.448314 19.827947,-75.440111 19.90375)
