section;wkt
448;LINESTRING(102.281157 29.275594,102.281157 29.275594)
448;LINESTRING(102.281157 29.275594,102.281157 29.275594)
449;LINESTRING(102.281157 29.275594,102.281157 29.275594)
449;LINESTRING(102.281157 29.275594,102.281157 29.275594)
451;LINESTRING(102.60048 28.779366,102.60048 28.779366)
452;LINESTRING(100.57818 26.11682,100.57818 26.11682)
452;LINESTRING(100.57818 26.07646,100.556351 26.073122)
457;LINESTRING(101.77896 24.808383,101.77896 24.808383)
458;LINESTRING(101.77896 24.808383,101.77896 24.808383)
460;LINESTRING(102.100051 24.441465,102.100051 24.441465)
460;LINESTRING(102.100051 24.441465,102.097033 24.42081)
461;LINESTRING(101.893356 26.041699,101.893356 26.041699)
478;LINESTRING(76.567111 36.775454,76.567111 36.775454)
479;LINESTRING(76.567111 36.775454,76.567111 36.775454)
482;LINESTRING(77.384015 36.461226,77.384015 36.461226)
483;LINESTRING(77.384015 36.461226,77.384015 36.461226)
488;LINESTRING(81.294984 35.910848,81.294984 35.910848)
489;LINESTRING(81.294984 35.910848,81.294984 35.910848)
493;LINESTRING(82.69491359999999 36.181863799999995,82.69624644444444 36.11427277777778)
493;LINESTRING(82.69491359999999 36.181863799999995,82.73326166666666 36.127671666666664)
494;LINESTRING(82.69491359999999 36.181863799999995,82.69624644444444 36.11427277777778)
494;LINESTRING(82.9023455 36.220196,82.91833777777778 36.19466611111111)
494;LINESTRING(83.024249 36.253196,83.023396 36.235349)
494;LINESTRING(83.106945 36.286152,83.106945 36.286152)
495;LINESTRING(83.106945 36.286152,83.097164 36.267686)
495;LINESTRING(83.106945 36.286152,83.106945 36.286152)
497;LINESTRING(83.631524 36.652526,83.624094 36.716216)
497;LINESTRING(83.631524 36.652526,83.624094 36.716216)
497;LINESTRING(83.631524 36.652526,83.631524 36.652526)
498;LINESTRING(83.631524 36.652526,83.624094 36.716216)
498;LINESTRING(83.631524 36.652526,83.624094 36.716216)
498;LINESTRING(83.631524 36.652526,83.631524 36.652526)
498;LINESTRING(83.85345833333334 36.72561433333333,83.870445 36.67265)
499;LINESTRING(83.85345833333334 36.72561433333333,83.789604 36.797323)
499;LINESTRING(83.85345833333334 36.72561433333333,83.870445 36.67265)
501;LINESTRING(84.429459 36.898348,84.429459 36.898348)
502;LINESTRING(84.429459 36.898348,84.429459 36.898348)
502;LINESTRING(84.580193 36.992629,84.580193 36.992629)
503;LINESTRING(84.580193 36.992629,84.580193 36.992629)
505;LINESTRING(85.135169 37.156511,85.135169 37.156511)
506;LINESTRING(85.135169 37.156511,85.135169 37.156511)
510;LINESTRING(91.942984 33.406795,91.935617 33.428568)
515;LINESTRING(99.644463 30.440292,99.644463 30.440292)
517;LINESTRING(99.723198 30.291407,99.760706 30.351895)
518;LINESTRING(99.853223 30.229037,99.826529 30.303241)
518;LINESTRING(99.880707 30.231152,99.880707 30.231152)
519;LINESTRING(100.80741 31.24587,100.80741 31.24587)
524;LINESTRING(101.712953 30.24293,101.712953 30.24293)
524;LINESTRING(101.712953 30.24293,101.712953 30.24293)
525;LINESTRING(99.644463 30.440292,99.644463 30.440292)
525;LINESTRING(99.760706 30.351895,99.723198 30.291407)
525;LINESTRING(99.826529 30.303241,99.853223 30.229037)
525;LINESTRING(99.826529 30.303241,99.880707 30.231152)
526;LINESTRING(99.750815 29.879134,99.750815 29.879134)
529;LINESTRING(99.880707 30.231152,99.826529 30.303241)
529;LINESTRING(99.880707 30.231152,99.880707 30.231152)
