#,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-30T00:28:48', checksum=421958827, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404
102.25482,29.10646,7.437494E-02,2.160067E-01
102.25563,29.24136,7.995137E-02,2.192975E-01
102.25645,29.37626,8.364847E-02,2.210887E-01
102.25727,29.51115,8.815661E-02,2.242523E-01
102.25810,29.64605,9.447785E-02,2.299191E-01
102.25894,29.78095,1.036583E-01,2.395654E-01
102.25978,29.91585,1.146623E-01,2.532205E-01
102.26062,30.05075,1.323749E-01,2.816471E-01
102.26148,30.18565,1.397810E-01,2.939696E-01
102.26233,30.32054,1.218746E-01,2.659171E-01
102.26320,30.45544,1.081271E-01,2.453897E-01
102.26407,30.59034,9.671479E-02,2.305735E-01
102.26494,30.72524,8.664414E-02,2.142812E-01
102.26582,30.86014,7.609729E-02,2.012892E-01
102.26671,30.99504,6.036179E-02,1.208893E-01
102.26760,31.12993,5.015953E-02,9.405226E-02
102.40621,28.70177,3.904961E-02,8.490424E-02
102.40721,28.83666,5.722860E-02,1.916964E-01
102.40821,28.97156,7.235561E-02,2.144744E-01
102.40922,29.10646,7.872078E-02,2.190854E-01
102.41023,29.24136,8.269802E-02,2.210690E-01
102.41125,29.37626,8.715998E-02,2.237679E-01
102.41228,29.51115,9.386086E-02,2.293331E-01
102.41332,29.64605,1.058480E-01,2.419571E-01
102.41436,29.78095,1.278838E-01,2.707270E-01
102.41541,29.91585,1.639488E-01,3.221747E-01
102.41647,30.05075,1.777895E-01,3.422911E-01
102.41754,30.18565,1.847524E-01,3.622347E-01
102.41861,30.32054,1.577605E-01,3.205189E-01
102.41969,30.45544,1.269680E-01,2.708568E-01
102.42077,30.59034,1.132698E-01,2.501365E-01
102.42187,30.72524,1.021220E-01,2.352287E-01
102.42297,30.86014,9.231710E-02,2.248150E-01
102.42408,30.99504,7.937951E-02,2.037559E-01
102.42520,31.12993,6.442577E-02,1.273000E-01
102.42632,31.26483,5.610970E-02,1.107705E-01
102.55882,28.56687,3.430842E-02,7.023228E-02
102.56001,28.70177,4.746458E-02,1.092122E-01
102.56120,28.83666,6.716204E-02,2.094676E-01
102.56240,28.97156,7.694849E-02,2.182617E-01
102.56361,29.10646,8.095524E-02,2.203657E-01
102.56483,29.24136,8.482758E-02,2.223930E-01
102.56606,29.37626,9.018376E-02,2.260403E-01
102.56729,29.51115,9.909622E-02,2.340766E-01
102.56853,29.64605,1.174619E-01,2.556604E-01
102.56979,29.78095,1.723278E-01,3.336648E-01
102.57105,29.91585,3.600219E-01,6.199232E-01
102.57232,30.05075,3.254014E-01,5.707589E-01
102.57360,30.18565,2.118237E-01,3.929036E-01
102.57488,30.32054,1.871786E-01,3.614941E-01
102.57618,30.45544,1.665591E-01,3.303212E-01
102.57748,30.59034,1.339542E-01,2.779552E-01
102.57879,30.72524,1.150793E-01,2.506787E-01
102.58012,30.86014,1.032084E-01,2.358317E-01
102.58145,30.99504,9.507255E-02,2.267335E-01
102.58279,31.12993,8.603779E-02,2.122095E-01
102.58414,31.26483,7.659501E-02,2.009886E-01
102.58550,31.39973,6.164217E-02,1.227125E-01
102.58686,31.53463,5.158253E-02,9.694912E-02
102.71242,28.56687,4.259304E-02,1.003983E-01
102.71380,28.70177,6.036108E-02,1.952614E-01
102.71519,28.83666,7.358226E-02,2.160488E-01
102.71659,28.97156,7.915540E-02,2.196664E-01
102.71801,29.10646,8.260658E-02,2.213131E-01
102.71943,29.24136,8.663344E-02,2.235571E-01
102.72086,29.37626,9.263115E-02,2.279014E-01
102.72230,29.51115,1.027964E-01,2.372672E-01
102.72375,29.64605,1.219803E-01,2.598855E-01
102.72521,29.78095,1.753143E-01,3.356608E-01
102.72668,29.91585,3.465850E-01,6.004460E-01
102.72816,30.05075,8.213617E-01,1.345945E+00
102.72966,30.18565,3.416823E-01,5.931031E-01
102.73116,30.32054,2.216085E-01,4.044221E-01
102.73267,30.45544,2.071466E-01,3.874792E-01
