#,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:09:23', checksum=1834546322, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
102.61855,29.85050,2.916175E-01,4.791548E-01,7.074597E-01,1.196092E+00,1.781900E-01,3.496090E-01
102.61961,29.98540,6.175362E-01,9.680408E-01,1.534338E+00,2.447202E+00,3.921727E-01,7.199661E-01
102.62067,30.12030,3.385343E-01,5.586175E-01,8.309130E-01,1.386991E+00,2.104067E-01,4.075800E-01
102.62174,30.25520,1.914120E-01,3.251316E-01,4.581570E-01,8.016770E-01,1.185690E-01,2.350539E-01
102.62281,30.39010,1.934239E-01,3.381653E-01,4.645818E-01,8.320530E-01,1.099062E-01,2.196409E-01
102.62389,30.52500,1.421549E-01,2.500641E-01,3.351786E-01,6.040997E-01,8.459809E-02,1.670146E-01
102.62499,30.65989,1.055782E-01,1.876701E-01,2.407095E-01,4.377969E-01,6.719915E-02,1.313576E-01
102.62608,30.79479,8.440579E-02,1.525208E-01,1.875862E-01,3.448490E-01,5.674385E-02,1.102795E-01
102.62719,30.92969,7.286658E-02,1.316122E-01,1.566679E-01,2.918384E-01,5.071590E-02,9.801783E-02
102.62830,31.06459,6.511643E-02,1.184321E-01,1.376058E-01,2.563287E-01,4.688049E-02,9.036511E-02
102.62942,31.19949,5.861800E-02,1.075164E-01,1.204529E-01,2.261430E-01,4.359315E-02,8.399788E-02
102.63055,31.33438,5.352441E-02,9.886575E-02,1.071720E-01,2.041677E-01,4.097514E-02,7.918422E-02
102.63169,31.46928,4.880835E-02,9.139578E-02,9.534273E-02,1.841605E-01,3.878827E-02,7.527791E-02
102.63283,31.60418,4.456988E-02,8.475383E-02,8.464757E-02,1.664056E-01,3.674227E-02,7.150866E-02
102.63398,31.73908,4.102370E-02,7.918785E-02,7.575932E-02,1.515837E-01,3.493322E-02,6.828915E-02
102.63514,31.87398,3.822324E-02,7.483829E-02,6.825884E-02,1.395501E-01,3.352742E-02,6.592963E-02
102.63631,32.00888,3.602283E-02,7.160797E-02,6.276066E-02,1.309454E-01,3.250873E-02,6.439261E-02
