#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T16:57:54', checksum=456785265, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
102.15323,30.25520,0.00000,8.163011E-02,6.274006E-02,4.666901E-02,3.350051E-02,2.307528E-02,1.511685E-02,9.300700E-03,5.290789E-03,2.735051E-03,1.261463E-03,5.091759E-04,1.757174E-04,5.065670E-05,1.138228E-05,1.751266E-06,1.298704E-07,1.878032E-08,3.463867E-09,4.156343E-10,3.411327E-11
102.15366,30.39010,0.00000,7.667220E-02,5.787291E-02,4.216310E-02,2.952180E-02,1.972859E-02,1.245984E-02,7.343198E-03,3.975273E-03,1.945567E-03,8.454703E-04,3.196496E-04,1.025218E-04,2.692429E-05,5.253179E-06,6.475213E-07,5.499924E-08,1.226662E-08,2.318622E-09,3.024403E-10,2.174283E-11
102.15409,30.52500,0.00000,7.098813E-02,5.266326E-02,3.758981E-02,2.566603E-02,1.662866E-02,1.012123E-02,5.712494E-03,2.948608E-03,1.367849E-03,5.597047E-04,1.969054E-04,5.764423E-05,1.310804E-05,2.085098E-06,1.803574E-07,2.467889E-08,5.283515E-09,9.183555E-10,1.157984E-10,9.406476E-12
102.15453,30.65989,0.00000,6.489377E-02,4.731759E-02,3.308669E-02,2.203479E-02,1.385510E-02,8.140564E-03,4.418049E-03,2.183849E-03,9.651043E-04,3.718219E-04,1.209715E-04,3.138278E-05,5.951448E-06,6.821748E-07,4.679590E-08,9.820696E-09,2.010924E-09,3.535183E-10,5.149259E-11,5.380696E-12
102.15496,30.79479,0.00000,6.018648E-02,4.328235E-02,2.977804E-02,1.944655E-02,1.195073E-02,6.843603E-03,3.611434E-03,1.730454E-03,7.362103E-04,2.697599E-04,8.158457E-05,1.882374E-05,2.955739E-06,2.153295E-07,1.242934E-08,2.348537E-09,4.011744E-10,6.122014E-11,7.340240E-12,3.768097E-13
102.15540,30.92969,0.00000,5.534666E-02,3.922008E-02,2.652397E-02,1.698327E-02,1.020651E-02,5.705073E-03,2.932773E-03,1.362834E-03,5.573489E-04,1.932950E-04,5.365356E-05,1.084753E-05,1.309521E-06,4.810324E-08,2.627925E-09,3.856486E-10,5.598433E-11,7.270073E-12,7.780443E-13,4.662937E-14
102.15585,31.06459,0.00000,5.067646E-02,3.533595E-02,2.347281E-02,1.473383E-02,8.669825E-03,4.738504E-03,2.377274E-03,1.071958E-03,4.207361E-04,1.375686E-04,3.497733E-05,6.182234E-06,5.518790E-07,1.684922E-08,9.293633E-10,7.909240E-11,1.350653E-11,2.440492E-12,2.351452E-13,3.996803E-15
102.15630,31.19949,0.00000,4.659630E-02,3.195732E-02,2.085195E-02,1.284469E-02,7.414465E-03,3.973959E-03,1.950272E-03,8.548697E-04,3.230212E-04,1.001290E-04,2.383074E-05,3.858644E-06,3.470055E-07,3.198935E-08,2.361845E-09,2.161260E-11,5.458634E-12,1.187939E-12,1.882938E-13,2.664535E-15
102.15675,31.33438,0.00000,4.334372E-02,2.927671E-02,1.879383E-02,1.139098E-02,6.471045E-03,3.415894E-03,1.649418E-03,7.097701E-04,2.626276E-04,7.979984E-05,1.900894E-05,3.294773E-06,4.563993E-07,7.273943E-08,8.231342E-09,2.583633E-10,4.570566E-12,1.179834E-12,2.159384E-13,1.665335E-15
102.15720,31.46928,0.00000,4.080248E-02,2.717282E-02,1.719021E-02,1.026748E-02,5.753908E-03,2.998862E-03,1.429937E-03,6.079781E-04,2.231282E-04,6.838672E-05,1.721670E-05,3.581373E-06,7.412526E-07,1.541299E-07,2.413381E-08,2.320075E-09,1.924017E-13,1.998401E-15,0.000000E+00,0.000000E+00
102.15766,31.60418,0.00000,3.855225E-02,2.531743E-02,1.578830E-02,9.298822E-03,5.145511E-03,2.652823E-03,1.254271E-03,5.314400E-04,1.964405E-04,6.253835E-05,1.738167E-05,4.441287E-06,1.186627E-06,2.957244E-07,6.003032E-08,9.100576E-09,5.456151E-10,0.000000E+00,0.000000E+00,0.000000E+00
102.15813,31.73908,0.00000,3.644757E-02,2.359374E-02,1.450031E-02,8.419597E-03,4.599501E-03,2.345025E-03,1.099924E-03,4.655065E-04,1.748570E-04,5.886326E-05,1.836933E-05,5.638281E-06,1.766499E-06,4.992233E-07,1.188841E-07,2.227688E-08,2.527061E-09,0.000000E+00,0.000000E+00,0.000000E+00
102.15858,31.87398,0.00000,3.456761E-02,2.206163E-02,1.336327E-02,7.652012E-03,4.126568E-03,2.080765E-03,9.690542E-04,4.114023E-04,1.588528E-04,5.732883E-05,2.003921E-05,6.982420E-06,2.335485E-06,6.728533E-07,1.567331E-07,2.682000E-08,2.545982E-09,0.000000E+00,0.000000E+00,0.000000E+00
